,tSNE-1,tSNE-2
F2S4_151217_005_B01,8.805215507991887,39.14236959419946
F2S4_151217_005_C01,-49.975524445641284,-47.20216149283741
F2S4_151217_005_E01,-30.673146355956433,-49.69362857073313
F2S4_151217_005_F01,-47.39301454179257,-45.443359692846016
F2S4_151217_005_G01,-33.49334362980477,-53.88508781793674
F2S4_151217_005_H01,-30.300209950486927,-45.28469847855274
F2S4_151217_006_A01,-38.05403812946466,-50.6552059837848
F2S4_151217_006_B01,-39.62122053593032,29.580531219032956
F2S4_151217_006_C01,-5.959737937489632,-62.201739614311016
F2S4_151217_006_D01,-32.20154737329921,-52.66932706712525
F2S4_151217_006_E01,-31.82678586771276,-52.89539241560738
F2S4_151217_006_F01,-47.591854244381615,-43.85647729103199
F2S4_151217_006_G01,-34.91697026610067,-43.70960169341675
F2S4_151217_006_H01,4.722783948958254,15.36860972417822
F2S4_151217_009_A01,-38.276314345046664,-8.252208147672286
F2S4_151217_009_B01,39.151532837212706,27.8550456855237
F2S4_151217_009_C01,-43.890318137353376,22.33448661771703
F2S4_151217_009_D01,-22.489391379938713,-36.62899663113559
F2S4_151217_009_E01,-43.10631897827103,23.287776223761796
F2S4_151217_009_F01,-38.44604796998668,29.796542414424948
F2S4_151217_009_G01,-61.40232240612409,38.89853658204312
F2S4_151217_009_H01,-42.99402377031816,23.404042215568737
F2S4_151217_010_A01,-51.88209278086879,39.1431471012602
F2S4_151217_010_B01,-33.20855194326729,-4.405267937691961
F2S4_151217_010_C01,-70.63532883018227,17.58216937772836
F2S4_151217_010_D01,-48.55229449141371,-47.674040575467465
F2S4_151217_010_E01,-42.988737138556694,23.346840312812382
F2S4_151217_010_F01,-38.16136797351832,-7.754353736604897
F2S4_151217_010_G01,-15.779166880010363,-27.563174313993564
F2S4_151217_010_H01,38.92519715614237,28.00784877856346
F2S4_151217_013_A01,-53.23902730845928,21.43401184594712
F2S4_151217_013_B01,-13.064777327816557,-6.32731390335134
F2S4_151217_013_C01,6.725540982482335,-33.29155732059792
F2S4_151217_013_D01,-8.501323702791685,0.5998149191635322
F2S4_151217_013_E01,7.675916466769592,14.537860314199955
F2S4_151217_013_F01,11.239783304612995,-44.64227512165101
F2S4_151217_013_G01,-38.20126090790435,-8.863718502320404
F2S4_151217_013_H01,11.466465648571955,-35.62815705639352
F2S4_151217_014_A01,4.329898977222651,-48.849809615167025
F2S4_151217_014_B01,-0.5862648230976405,-38.002629000140416
F2S4_151217_014_C01,16.541729943390536,-27.41934684337131
F2S4_151217_014_D01,7.0667947586752735,-44.379771889707854
F2S4_151217_014_E01,-75.7953900412983,8.152578917085828
F2S4_151217_014_F01,69.62090843008582,25.62078044388449
F2S4_151217_014_G01,6.762291628321577,-33.26122980552123
F2S4_151217_014_H01,11.055618728081974,-28.92778042401042
F2S4_151223_004_A01,4.186258817144803,14.782042154115056
F2S4_151223_004_B01,-40.00788010197229,29.2516130839734
F2S4_151223_004_C01,-20.334421590294628,25.161280498127766
F2S4_151223_004_D01,-32.75423225882105,9.083848765281907
F2S4_151223_004_E01,-32.163077122114316,57.210759902079545
F2S4_151223_004_F01,-20.227673563815685,25.208817823057736
F2S4_151223_004_G01,3.4606806643433354,16.76855670089812
F2S4_151223_004_H01,-50.724395109362746,39.39255999462892
F2S4_151223_005_A01,-35.456412943499174,60.326652354821796
F2S4_151223_005_B01,-32.601521065684786,8.898798646820547
F2S4_151223_005_C01,-52.31810967279969,20.789668771841047
F2S4_151223_005_D01,-54.861308288112895,19.131489732498558
F2S4_151223_005_E01,4.361295029205407,15.46749186748727
F2S4_151223_005_F01,5.207170571823168,54.101872385601176
F2S4_151223_005_G01,-32.575175862977915,8.865693890785888
F2S4_151223_006_A01,-51.537889135659775,38.246479637808335
F2S4_151223_006_B01,-52.98525902824707,21.260197267146157
F2S4_151223_006_C01,7.10213807451414,18.996676763003457
F2S4_151223_006_D01,3.711749180206972,15.666650244835806
F2S4_151223_006_E01,-61.276305208922615,38.27916691743847
F2S4_151223_006_F01,-32.56249997890933,8.912538775475257
F2S4_151223_006_G01,-50.59603207574303,39.49658814249493
F2S4_151223_006_H01,-32.69335883764442,9.265337762928617
F2S4_151223_015_A01,-32.441094456426946,55.03023180907193
F2S4_151223_015_B01,4.808847848703383,21.748039134700495
F2S4_151223_015_C01,-9.277369406813667,18.207018603559643
F2S4_151223_015_D01,-33.54254742811867,13.414299302977481
F2S4_151223_015_E01,-20.175128390965526,25.183540905383452
F2S4_151223_015_F01,-19.981773911501733,25.243237430856002
F2S4_151223_015_G01,-42.76949090711168,24.227079586351785
F2S4_151223_015_H01,-18.845994387893104,26.40596202732441
F2S4_151223_016_A01,-32.56755728605459,55.70340276792376
F2S4_151223_016_B01,-10.577550469365251,18.826617378237852
F2S4_151223_016_C01,-3.4896433203634,17.904147003392726
F2S4_151223_016_D01,-53.27353185590179,21.92218902859258
F2S4_151223_016_E01,-19.532346281919406,52.490889387592254
F2S4_151223_016_F01,-20.359333438663274,25.180683321350937
F2S4_151223_016_G01,-8.850109654950364,18.892061446763403
F2S4_151223_016_H01,4.866121445967818,21.740693733926186
F2S4_151217_007_A01,0.09926433765797125,-67.91137037504657
F2S4_151217_007_B01,-49.51482332602667,-47.82258425783349
F2S4_151217_007_C01,-36.32497903485635,-53.21043144132705
F2S4_151217_007_D01,-33.57853001364559,-53.826899698825784
F2S4_151217_007_E01,-33.527453725159205,-53.677525323784685
F2S4_151217_007_F01,-44.265121883054285,-43.9111376882686
F2S4_151217_007_G01,-50.51336964655369,-45.602097699760904
F2S4_151217_007_H01,-31.900278767082845,-52.939176020715024
F2S4_151217_008_A01,-49.4233720973856,-45.022560456907755
F2S4_151217_008_B01,-30.14653578024008,-44.87797068811685
F2S4_151217_008_C01,-33.93523018692064,-50.14700870399069
F2S4_151217_008_E01,-46.773570736121165,-44.51625039973625
F2S4_151217_008_F01,-46.465602655053296,-46.71037708160748
F2S4_151217_008_G01,-44.13740066424762,-43.96102204438686
F2S4_151217_008_H01,-30.15569520778982,-44.92476050882579
F2S4_151217_012_A01,10.276556731231924,-28.571507393757326
F2S4_151217_012_B01,33.900699690598245,61.15594072180802
F2S4_151217_012_C01,-0.4002488468618905,-37.886998611806966
F2S4_151217_012_D01,32.228526447115435,-67.33745873308413
F2S4_151217_012_E01,8.873357154563944,-27.59408329065048
F2S4_151217_012_F01,-76.13298519381324,7.085088345672663
F2S4_151217_012_G01,-38.17377916549382,-8.841419127846262
F2S4_151217_012_H01,-33.00384532672238,-5.2672994557754995
F2S4_151223_001_A01,-50.36997940814547,38.32299242169245
F2S4_151223_001_B01,-32.38082787114039,58.03211033983962
F2S4_151223_001_C01,-58.65570229943089,39.21232050896746
F2S4_151223_001_D01,-20.262150859401196,25.258654054134464
F2S4_151223_001_E01,-18.409336519723308,35.4332047761875
F2S4_151223_001_F01,4.440125909204039,16.8615991327939
F2S4_151223_001_G01,-17.834971729254924,52.09328805837283
F2S4_151223_001_H01,8.944400754668774,17.098498610154476
F2S4_151223_009_A01,45.863642024457356,27.009172267819146
F2S4_151223_009_C01,1.9178662649255727,67.19152209347355
F2S4_151223_009_D01,33.30352803578757,60.97082479459511
F2S4_151223_009_E01,8.920913213217291,39.84613356180257
F2S4_151223_009_F01,2.119294265914211,68.09061424668778
F2S4_151223_009_G01,52.68496997627068,22.514505890894707
F2S4_151223_009_H01,-49.70205099277625,15.85546051997243
F2S4_151223_010_A01,9.955947326363086,64.55041918052798
F2S4_151223_010_B01,5.256088438186517,63.772833071102134
F2S4_151223_010_C01,-32.41259280795822,8.883960373818361
