,tSNE-1,tSNE-2
F2S4_151217_005_B01,19.950064028965965,16.729611241631165
F2S4_151217_005_C01,-25.625042911982373,-47.81517203429096
F2S4_151217_005_E01,-11.099691003281922,-49.64976837514803
F2S4_151217_005_F01,-22.87687033594218,-45.36657683559209
F2S4_151217_005_G01,-15.617813373346365,-54.265956345414786
F2S4_151217_005_H01,-11.86024790366783,-44.513460704834216
F2S4_151217_006_A01,-20.319477238798157,-49.93463353419068
F2S4_151217_006_B01,-29.74121891006737,17.466005511447275
F2S4_151217_006_C01,15.236999150104458,-43.296568222369096
F2S4_151217_006_D01,-13.590820085337345,-51.743174149295484
F2S4_151217_006_E01,-12.248372461363772,-52.78085139371921
F2S4_151217_006_F01,-23.748330897427902,-42.87957228335538
F2S4_151217_006_G01,-16.679754278100916,-42.060639085306974
F2S4_151217_006_H01,-5.485389663950344,43.72529531367952
F2S4_151217_009_A01,-46.17634103131141,-28.66360674873152
F2S4_151217_009_B01,15.69337053646506,37.70852630171169
F2S4_151217_009_C01,-35.15893513667572,21.18668005897877
F2S4_151217_009_D01,-3.9328832777766687,-45.051987871366656
F2S4_151217_009_E01,-33.43578680301184,19.291425068465767
F2S4_151217_009_F01,-27.495661666363823,17.424383722475525
F2S4_151217_009_G01,-42.54458867423438,14.274536040100697
F2S4_151217_009_H01,-33.51579104302365,19.132962975031532
F2S4_151217_010_A01,-41.6118589207664,10.657062201409378
F2S4_151217_010_B01,-47.3924390204143,-23.10292887891753
F2S4_151217_010_C01,-12.369169351151177,11.421460171299117
F2S4_151217_010_D01,-23.443786617059253,-48.225798304792356
F2S4_151217_010_E01,-33.41228817806918,19.35556399295373
F2S4_151217_010_F01,-46.71938017212344,-28.12132655610703
F2S4_151217_010_G01,0.5574609955533393,-41.64746290679885
F2S4_151217_010_H01,15.895449725128259,37.34261056738772
F2S4_151217_013_A01,-38.01287963868438,26.70490008729537
F2S4_151217_013_B01,-31.97557581158703,-13.212048465648705
F2S4_151217_013_C01,47.21587049821267,-19.32747842413165
F2S4_151217_013_D01,-29.225650722901513,-9.239402899489084
F2S4_151217_013_E01,-4.903818554180699,40.628401066809054
F2S4_151217_013_F01,41.24376180980671,-10.79224849178221
F2S4_151217_013_G01,-45.24592412122574,-28.51125322299944
F2S4_151217_013_H01,40.77771191517252,-14.122845844450502
F2S4_151217_014_A01,49.81945494519491,-7.216236119612069
F2S4_151217_014_B01,50.85565774456133,-18.038014365349568
F2S4_151217_014_C01,39.00438267390465,-15.00136541054519
F2S4_151217_014_D01,46.735832846641706,-9.126478092264179
F2S4_151217_014_E01,-9.688688502441858,8.699912805973122
F2S4_151217_014_F01,8.216501969456875,43.36541609271834
F2S4_151217_014_G01,46.95322844928677,-19.364934043016454
F2S4_151217_014_H01,39.8606497278655,-20.012401019576462
F2S4_151223_004_A01,-7.116649261141768,43.30214491821137
