,tSNE-1,tSNE-2
F2S4_151217_005_B01,20.45058230634491,11.406853753447573
F2S4_151217_005_C01,-5.554973303604713,-37.26502170879488
F2S4_151217_005_E01,0.655629848654767,-33.45795558107531
F2S4_151217_005_F01,-5.026679294290508,-35.67500890298249
F2S4_151217_005_G01,-0.6453310860536836,-37.40311407105797
F2S4_151217_005_H01,-0.8249807880012018,-32.06812051454928
F2S4_151217_006_A01,-2.6355628526822494,-36.79149739088757
F2S4_151217_006_B01,-25.992621410172095,17.429787682485593
F2S4_151217_006_C01,20.603036812182136,-27.978468021217527
F2S4_151217_006_D01,0.28643674371819233,-35.570951250713854
F2S4_151217_006_E01,0.8823440053041426,-35.930148255560894
F2S4_151217_006_F01,-6.275190463436011,-35.46447333220225
F2S4_151217_006_G01,-3.1372704636969884,-32.97094785716909
F2S4_151217_006_H01,-3.865908124070388,33.74657283639432
F2S4_151217_009_A01,-24.402526064628947,-29.38663162690303
F2S4_151217_009_B01,21.610809395430515,23.76256640912105
F2S4_151217_009_C01,-22.53414293426743,17.770435520492523
F2S4_151217_009_D01,3.980893062175987,-29.88033578562478
F2S4_151217_009_E01,-24.363901594828892,17.108562520202423
F2S4_151217_009_F01,-26.820726940424297,17.910516390631248
F2S4_151217_009_G01,-27.37667090912765,11.210113644526125
F2S4_151217_009_H01,-24.334133684817072,16.85670124286666
F2S4_151217_010_A01,-28.012222989860568,12.88863979305964
F2S4_151217_010_B01,-26.37351054231408,-28.32557829569157
F2S4_151217_010_C01,-11.30086572441724,12.379581906936572
F2S4_151217_010_D01,-4.454737135340362,-36.654697262229156
F2S4_151217_010_E01,-24.28646994784368,17.165439955263533
F2S4_151217_010_F01,-25.06377483808529,-29.527313522229697
F2S4_151217_010_G01,6.182829049157554,-27.462251522879864
F2S4_151217_010_H01,21.445624324136332,23.494634026455977
F2S4_151217_013_A01,-19.697877097005026,18.674169922787268
F2S4_151217_013_B01,-28.86689662690722,-11.93347258312886
F2S4_151217_013_C01,31.845642158294364,-7.518678442721855
F2S4_151217_013_D01,-26.85836736893399,-10.884872217159351
F2S4_151217_013_E01,-3.1468661586990665,33.02024398696011
F2S4_151217_013_F01,29.278986576057466,-4.205613238166116
F2S4_151217_013_G01,-24.376643202006942,-29.360255930383136
F2S4_151217_013_H01,28.334114864206004,-5.229844103494225
F2S4_151217_014_A01,34.01447386619583,-2.45595396966039
F2S4_151217_014_B01,33.602898727136,-7.270791973301328
F2S4_151217_014_C01,28.136548267930554,-6.135887978141705
F2S4_151217_014_D01,31.86942870052512,-2.878832031924902
F2S4_151217_014_E01,-10.046101475872312,9.70806382545003
F2S4_151217_014_F01,10.224057206661872,25.754854578061696
F2S4_151217_014_G01,31.69728797783165,-7.343239073583507
F2S4_151217_014_H01,28.005083022206698,-8.39086889797771
F2S4_151223_004_A01,-5.10415326098957,33.01740982612806
F2S4_151223_004_B01,-25.086399037130573,17.545138946223187
F2S4_151223_004_C01,-12.557812985868765,27.83847816777504
F2S4_151223_004_D01,-18.42522589808174,22.472476928230257
F2S4_151223_004_E01,-21.251401541709075,9.76559461874714
F2S4_151223_004_F01,-11.934969595852671,27.724116700784414
F2S4_151223_004_G01,-4.851312249899764,34.720458059410525
F2S4_151223_004_H01,-27.559554741009404,13.578330695114785
F2S4_151223_005_A01,-21.990219819663068,8.36216781405661
F2S4_151223_005_B01,-18.283398021419156,22.64392992215574
F2S4_151223_005_C01,-22.43858128683216,16.920211822454558
F2S4_151223_005_D01,-20.364215610128557,15.628341832981567
F2S4_151223_005_E01,-4.383307112371703,33.810717025800045
F2S4_151223_005_F01,15.204706149276593,6.412477277327541
F2S4_151223_005_G01,-18.299632577545154,22.749380757146223
F2S4_151223_006_A01,-28.487144331946837,13.263155563268652
F2S4_151223_006_B01,-19.247865251034916,19.183748596530616
F2S4_151223_006_C01,-2.8462293140572563,35.46873182796228
F2S4_151223_006_D01,-4.559838749343386,33.76262959320297
F2S4_151223_006_E01,-28.105790619556807,10.278725139318404
F2S4_151223_006_F01,-18.302504464225176,22.56181103148934
F2S4_151223_006_G01,-27.263217661925175,13.589720833321048
F2S4_151223_006_H01,-18.1633635458388,22.572273489480388
F2S4_151223_015_A01,-20.43407104601164,11.12213174294696
F2S4_151223_015_B01,-6.01795815024215,32.55820318118554
F2S4_151223_015_C01,-8.973237487186404,32.928252069056455
F2S4_151223_015_D01,-19.257070470487953,20.965004458209517
F2S4_151223_015_E01,-12.125392026111083,27.81005638414203
F2S4_151223_015_F01,-11.646702099244012,27.80815481985899
F2S4_151223_015_G01,-25.089511129986576,16.291269506927343
F2S4_151223_015_H01,-10.584142903029422,27.771995759351896
F2S4_151223_016_A01,-20.566934302989548,10.371011380839267
F2S4_151223_016_B01,-9.716657790566936,32.18855159745194
F2S4_151223_016_C01,-7.783865960747507,33.09580854683525
F2S4_151223_016_D01,-19.289277952953796,20.093927440761178
F2S4_151223_016_E01,-19.43273145706187,10.843250595456666
F2S4_151223_016_F01,-12.16325527788795,27.628810993427837
F2S4_151223_016_G01,-8.036240279813873,32.47149772846194
F2S4_151223_016_H01,-4.631834449134635,31.27167944310922
F2S4_151217_007_A01,23.456917321516332,-25.446955422967736
F2S4_151217_007_B01,-5.457151745529751,-37.36990065567257
F2S4_151217_007_C01,-1.5984370096716944,-37.33403073336717
F2S4_151217_007_D01,-1.7948854834707788,-37.45108264641892
F2S4_151217_007_E01,-0.9272031454102999,-37.21446988107087
F2S4_151217_007_F01,-3.8793174586760206,-33.699311928791175
