,tSNE-1,tSNE-2
F2S4_151217_005_B01,9.406032906446574,35.62152708535663
F2S4_151217_005_C01,-47.1626969321145,-44.57545053824119
F2S4_151217_005_E01,-23.98712372347002,-48.77931727559554
F2S4_151217_005_F01,-42.21853368609129,-40.12683443191536
F2S4_151217_005_G01,-30.34110245898152,-55.72705522818313
F2S4_151217_005_H01,-23.27311788709437,-39.387060640869656
F2S4_151217_006_A01,-38.68407146363794,-47.318975179916606
F2S4_151217_006_B01,-34.549959316255254,38.52830159368542
F2S4_151217_006_C01,-12.33982762226555,-61.79006756362342
F2S4_151217_006_D01,-27.880535307389486,-52.162984014113555
F2S4_151217_006_E01,-25.543719703865886,-53.630467816712596
F2S4_151217_006_F01,-42.64079000261187,-35.598877727826824
F2S4_151217_006_G01,-31.062778349289964,-34.84488172053206
F2S4_151217_006_H01,8.378943249261631,14.36669367331052
F2S4_151217_009_A01,-40.760030764934,-16.024033849991316
F2S4_151217_009_B01,40.703043415608235,28.837257281867412
F2S4_151217_009_C01,-41.22785998835025,25.433849768437216
F2S4_151217_009_D01,-12.341460052610538,-46.24659263268156
F2S4_151217_009_E01,-39.5690107962266,27.704381694023557
F2S4_151217_009_F01,-34.06307251358066,36.749333710075476
F2S4_151217_009_G01,-59.09820073631118,39.877285416912144
F2S4_151217_009_H01,-39.70813768525695,28.05201006481985
F2S4_151217_010_A01,-53.91284694764484,35.62367991006793
F2S4_151217_010_B01,-33.36904852994782,-23.144307084759465
F2S4_151217_010_C01,-74.11239511570054,12.620574198145366
F2S4_151217_010_D01,-44.18579912239765,-44.986354906412714
F2S4_151217_010_E01,-39.47635343872786,27.93907640857685
F2S4_151217_010_F01,-40.538558602769385,-17.059914234980962
F2S4_151217_010_G01,-1.114944373050321,-41.32527845657273
F2S4_151217_010_H01,40.44928507367438,29.05023123959979
F2S4_151217_013_A01,-49.80956336573634,25.654779033991
F2S4_151217_013_B01,-20.603140634089517,-6.063380493164376
F2S4_151217_013_C01,9.084473356807232,-28.381312519458888
F2S4_151217_013_D01,-13.625420633586446,-10.750759991041122
F2S4_151217_013_E01,14.84391030731072,13.585987422301883
F2S4_151217_013_F01,0.5895832784885285,-25.192667446729484
F2S4_151217_013_G01,-39.97689253751379,-14.817202553302812
F2S4_151217_013_H01,9.297667591922462,-14.354025460163172
F2S4_151217_014_A01,-9.19397303317153,-26.874592775033165
F2S4_151217_014_B01,5.349121046330107,-31.597365014082186
F2S4_151217_014_C01,14.558892080512566,-12.64474101846811
F2S4_151217_014_D01,-5.1447620788035415,-21.286485225641375
F2S4_151217_014_E01,-78.87283528649854,6.78060945943086
F2S4_151217_014_F01,66.98412746393993,26.76550088598211
F2S4_151217_014_G01,9.286333870485675,-28.227402292189776
F2S4_151217_014_H01,17.485138281123323,-21.816860592522627
F2S4_151223_004_A01,7.287910405871202,13.00898632756455
F2S4_151223_004_B01,-38.749118379997114,30.403750993284657
F2S4_151223_004_C01,-23.40942575395623,19.69100558358369
F2S4_151223_004_D01,-36.53622284498579,9.703006807528697
F2S4_151223_004_E01,-33.497829987996965,56.47884902211572
F2S4_151223_004_F01,-23.081484638092867,19.410466230899505
F2S4_151223_004_G01,4.410008591819646,17.00796816144759
F2S4_151223_004_H01,-50.55542703788101,36.23235865794126
F2S4_151223_005_A01,-42.091735582567786,61.0474983143568
F2S4_151223_005_B01,-36.08719800181667,8.743206057331502
F2S4_151223_005_C01,-48.496552462952444,24.6631054863998
F2S4_151223_005_D01,-57.07830372024827,19.684196285619855
F2S4_151223_005_E01,7.821427539343684,14.365085759134933
F2S4_151223_005_F01,-1.4141547703593285,55.379294890883344
F2S4_151223_005_G01,-35.95621623168741,8.975554489046077
F2S4_151223_006_A01,-51.73243733291437,33.3783233223624
F2S4_151223_006_B01,-49.02658229422064,25.30210726145339
F2S4_151223_006_C01,11.438319236243776,23.311261281656634
F2S4_151223_006_D01,5.930790557473965,14.81271550455378
F2S4_151223_006_E01,-64.13154976462012,33.91285131477968
F2S4_151223_006_F01,-35.99291002229008,8.567875069936612
F2S4_151223_006_G01,-49.99342217746572,36.57115602774537
F2S4_151223_006_H01,-36.40338628339084,10.263369252597053
F2S4_151223_015_A01,-33.248369857425516,51.59827046258553
F2S4_151223_015_B01,4.247736051766998,26.086486820741563
F2S4_151223_015_C01,-5.809106145537269,13.570913587968702
F2S4_151223_015_D01,-34.71114492328508,17.320669623959677
F2S4_151223_015_E01,-23.08091731171415,19.712857250944353
F2S4_151223_015_F01,-22.652234930742686,19.66019809756336
F2S4_151223_015_G01,-39.959193395700616,29.747945875371954
F2S4_151223_015_H01,-20.492001731606983,25.19332295858923
F2S4_151223_016_A01,-33.46657701806857,52.751948459656425
F2S4_151223_016_B01,-8.820687830545024,14.414315849425297
F2S4_151223_016_C01,-3.2683701064590864,15.229375462268585
F2S4_151223_016_D01,-49.43375619510367,27.05403557712533
F2S4_151223_016_E01,-25.61420280857297,49.60020472489186
F2S4_151223_016_F01,-23.17045861213218,18.95175478914305
F2S4_151223_016_G01,-5.021194372240771,16.375250015420647
